Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protestors,demand Trump tax returns,1,700.0,2017-04-15,73,Tucson,AZ
United Liberty Coalition,pro-Trump; seek unity between political parties,2,50.0,2017-04-22,80,Phoenix,AZ
multi-faith groups,protest against deportations and Trump's immigration policies,1,300.0,2017-04-13,71,Los Angeles,CA 
general protestors,demand Trump tax returns,1,2000.0,2017-04-15,73,San Francisco,CA 
general protestors,demand Trump tax returns,1,375.0,2017-04-15,73,San Jose,CA 
general protestors,demand Trump tax returns,1,11000.0,2017-04-15,73,Los Angeles,CA 
general protestors,demand Trump tax returns,1,1250.0,2017-04-15,73,Sacramento,CA 
Organize San Diego; San Diego Protests,demand Trump tax returns,1,2500.0,2017-04-15,73,San Diego,CA 
general protestors,demand Trump tax returns,1,400.0,2017-04-15,73,Modesto,CA 
El Paso County Republican Party,pro-Trump,2,125.0,2017-04-15,73,Colorado Springs,CO
general protestors,demand Trump tax returns,1,2000.0,2017-04-15,73,Denver,CO
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Colorado Springs,CO
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Hartford,CT
Connecticut Citizens Action Group; general protesters,anti-Trump; release of Trump tax returns,1,150.0,2017-04-18,76,Hartford,CT
general protestors; union,pro-immigration; anti-Trump,1,2000.0,2017-04-29,87,Hartford,CT
We Belong Together,oppose Trump's immigration policies,1,112.0,2017-04-13,71,Washington,DC
general protestors,demand Trump tax returns,1,2250.0,2017-04-15,73,Washington,DC
general protestors; Falun Gong,against Trump meeting president of China,1,200.0,2017-04-06,64,Palm Beach,FL 
general protestors,demand Trump tax returns,1,2000.0,2017-04-15,73,Sarasota,FL 
various Indivisible groups,demand Trump tax returns,1,100.0,2017-04-15,73,Daytona Beach,FL 
general protestors,demand Trump tax returns,1,300.0,2017-04-15,73,Orlando ,FL 
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Palm Beach,FL 
general protestors,demand Trump tax returns,1,700.0,2017-04-15,73,Palm Harbor,FL 
Indivisible Hayden; general protestors,demand Trump tax returns,1,300.0,2017-04-15,73,Coeur d’Alene,ID 
general protestors,demand Trump tax returns,1,250.0,2017-04-15,73,Boise,ID 
general protesters,against current EPA failure to correct East Chicago's water contamination; anti-Trump,1,100.0,2017-04-19,77,East Chicago,IL
general protestors,demand Trump tax returns,1,3000.0,2017-04-15,73,Chicago ,IL  
Naperville Women's March Action group,demand Trump tax returns,1,450.0,2017-04-15,73,Naperville,IL  
Kentucky National Organization for Women,demand Trump tax returns,1,100.0,2017-04-15,73,Lexington,KY
Indivisible NOLA,demand Trump tax returns,1,100.0,2017-04-15,73,New Orleans,LA
general protestors,demand Trump tax returns,1,1000.0,2017-04-15,73,Cambridge,MA
general protestors,demand Trump tax returns,1,90.0,2017-04-15,73,Bangor,ME
general protestors,demand Trump tax returns,1,400.0,2017-04-15,73,Detroit ,MI
the 906 Democratic Coalition of the Upper Peninsula,demand Trump tax returns,1,200.0,2017-04-15,73,Marquette,MI
general protestors,demand Trump tax returns,1,350.0,2017-04-15,73,Farmington,MI
Progressives at the University of Michigan and Michigan To Believe In,demand Trump tax returns,1,2000.0,2017-04-15,73,Ann Arbor,MI
Indivisible Greater Mankato,demand Trump tax returns,1,70.0,2017-04-15,73,Mankato,MN
general protestors,demand Trump tax returns,1,350.0,2017-04-15,73,St. Paul,MN
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Rochester,MN
general protestors,demand Trump tax returns,1,55.0,2017-04-15,73,Springfield,MO
general protestors,demand Trump tax returns,1,50.0,2017-04-15,73,Kalispell,MT
general protestors,anti-Donald Trump Jr. visiting,1,50.0,2017-04-22,80,Billings,MT
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Raleigh,NC
general protestors,demand Trump tax returns,1,53.0,2017-04-15,73,Omaha,NE 
general protestors,in support of Gerald DeLemus; pro-Trump,2,150.0,2017-04-29,87,Concord,NH
general protestors,demand Trump tax returns,1,300.0,2017-04-15,73,Santa Fe,NM
general protestors,demand Trump tax returns,1,225.0,2017-04-15,73,Las Vegas,NV
general protestors; Get Involved Nevada,demand Trump tax returns,1,450.0,2017-04-15,73,Reno,NV
general protestors,protesting Trump's recent executive order which jeopordized national parks,1,200.0,2017-04-28,86,Las Cruces,NV
TomCat bakery workers,against Trump's immigration policies,1,200.0,2017-04-08,66,New York City,NY
Rise and resist,protest against Trump's immigration policy,1,50.0,2017-04-13,71,New York City,NY
WNY Peace Center,demand Trump tax returns,1,200.0,2017-04-15,73,Buffalo,NY
general protestors;  Bethlehem Indivisible ,demand Trump tax returns,1,200.0,2017-04-15,73,Albany,NY
New Feminists for Justice with help from the CNY Solidarity Coalition and other groups,demand Trump tax returns,1,300.0,2017-04-15,73,Syracuse,NY
"Central New York Citizens in Action, Inc.,",demand Trump tax returns,1,80.0,2017-04-15,73,New Hartford,NY
general protestors,pro-Trump; 100 days,2,50.0,2017-04-29,87,Syracuse,NY
general protestors,demand Trump tax returns,1,100.0,2017-04-15,73,Cincinnati,OH
general protestors,demand Trump tax returns,1,120.0,2017-04-15,73,Youngstown,OH
general protestors,demand Trump tax returns,1,275.0,2017-04-15,73,Eugene,OR
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Portland,OR
general protestors; Philadelphia Jobs with Justice,demand Trump tax returns,1,2000.0,2017-04-15,73,Philadelphia,PA
Action Together of Northeastern Pennsylvania,demand Trump tax returns,1,60.0,2017-04-15,73,Wilkes-Barre,PA
POTUS; White House,President Trump rally,2,7000.0,2017-04-29,87,Harrisburg,PA
PA Democratic Party,anti-Trump,1,100.0,2017-04-29,87,Harrisburg,PA
general protestors,Mega March against Trump's immigration policies,1,11600.0,2017-04-09,67,Dallas,TX
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Houston,TX
general protestors,demand Trump tax returns,1,1600.0,2017-04-15,73,Austin,TX
general protestors,demand Trump tax returns,1,200.0,2017-04-15,73,Salt Lake City,UT
general protestors,to support Trump,2,125.0,2017-04-03,61,Vancouver,WA
Rose City Antifa; general protests,counter-protest at pro-Trump rally,1,80.0,2017-04-03,61,Vancouver,WA
Black Lives Matter,demand Trump tax returns,1,4000.0,2017-04-15,73,Seattle,WA
general protestors,demand Trump tax returns; decry Washington state's regressive tax system,1,2000.0,2017-04-15,73,Seattle,WA
general protestors,demand Trump tax returns,1,600.0,2017-04-15,73,Olympia,WA
general protesters,pro-immigrants; against Trump visit,1,200.0,2017-04-18,76,Kenosha,WI
general protesters,pro-Trump,2,200.0,2017-04-18,76,Kenosha,WI
general protestors,demand Trump tax returns,1,180.0,2017-04-15,73,Cheyenne,WY
Youth Action March ,Protesting Trump Adminstration ,1,80.0,2017-10-07,248,Boston,MA
Harvard Islamic Society,Protesting Trump's travel ban,1,100.0,2017-10-17,258,Cambridge,MA
general protestors,Protesting Trump's travel ban,1,75.0,2017-10-18,259,Chattanooga,TN
Syrian Community Network,Protesting Trump's Muslim ban,1,104.0,2017-10-18,259,Chicago,IL
general protestors,Protesting Trump appearance,1,200.0,2017-10-25,266,Dallas,TX
general protestors,Protesting Trump's immigration/anti-muslim agenda,1,50.0,2017-10-04,245,Detroit,MI
Yemeni-American protestors; ,Protesting new Trump immigration ban,1,450.0,2017-10-27,268,Detroit,MI
general protestors,Protesting Trump,1,50.0,2017-10-31,272,Eugene,OR
Campaign for McMaster,Trump rallying for McMaster's gubernatorial campaign,2,2000.0,2017-10-16,257,Greenville,SC
general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,200.0,2017-10-31,272,Holland,MI
Tennessee Immigrant and Refeugee Rights Coalition,Protesting Trump's travel ban,1,75.0,2017-10-18,259,Knoxville,TN
Council on American-Islamic Relations,Protesting Trump's latest travel ban,1,200.0,2017-10-15,256,Los Angeles,CA
general protestors,Rally to hold Trump's word on writing off Puerto Rico's debt ,0,100.0,2017-10-04,245,New York City ,NY
general protestors,Protesting Trump's decision to end DACA,1,250.0,2017-10-01,242,Raleigh,NC
general protestors,Rallying against Trump's immigration policy,1,200.0,2017-10-15,256,Seattle,WA
general protestors,Protesting Trump's travel ban,1,200.0,2017-10-18,259,Washington,DC
Mike Pence,Trump Adminstration rally ,2,400.0,2017-10-15,256,Washington County ,VA
general protestors,Protesting Trump's decision to end DACA; rallying for immigration reform,1,200.0,2017-10-07,248,Worthington,MN
Americans for Tax Fairness,Protesting Trump's tax plan,1.0,287.0,2017-11-01,273,Washington,DC
general protestors,Protesting Trump's visit,1.0,200.0,2017-11-03,275,Honolulu,HI
general protestors,Counter-protest; pro-Trump,2.0,75.0,2017-11-04,276,Austin,TX
Refuse Fascism,Protesting Trump,1.0,100.0,2017-11-04,276,Chicago,IL
Refuse Fascism,Protesting Trump,1.0,400.0,2017-11-04,276,Los Angeles,CA
general protestors,Trump is facist ,1.0,438.0,2017-11-04,276,New York ,NY
Refuse Fascism,Protesting Trump,1.0,100.0,2017-11-04,276,Philadelphia,PA
general protestors,Refuse facism; protesting Trump,1.0,100.0,2017-11-04,276,Portland,OR
Refuse Fascism,Protesting Trump,1.0,200.0,2017-11-04,276,San Francisco,CA
Minnesota Peace Action Coalition,Protesting Trump's aggressiveness toward North Korea,1.0,50.0,2017-11-09,281,Minneapolis,MN
NYU Students,protest President Donald Trump’s decision to end DACA.,1.0,60.0,2017-11-09,281,New York ,NY
Students,Protesting Trump's decision to end DACA; rally for imigrants,1.0,200.0,2017-11-09,281,Oklahoma City,OK
Salem-Keizer students,Protesting Trump's decision to end DACA; rally for imigrants,1.0,300.0,2017-11-09,281,Salem,OR
Students,Protesting Trump's decision to end DACA; rally for imigrants,1.0,200.0,2017-11-10,282,Minneapolis,MN
general protestors,Protesting Trump,1.0,100.0,2017-11-11,283,West Palm Beach,FL
BAYAN USA Northern CA,Protesting Trump; US troops in the Phillipines,1.0,185.0,2017-11-13,285,San Francisco,CA
Our Revolution ,Protesting Trump's tax plan ,1.0,206.0,2017-11-15,287,Washington ,DC
Unity March for Puerto Rico ,Puerto Rico Unity March/ Protest Inaction by Trump Admin.,1.0,1100.0,2017-11-19,291,Washington ,DC
Make America Great Illinois,Rallying for Trump,2.0,200.0,2017-11-21,293,Rockford,IL
general protestors,Protesting Trump,1.0,300.0,2017-11-21,293,West Palm Beach,FL
general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1.0,100.0,2017-11-22,294,Los Angeles,CA
Rise and Resist,Protesting Trump,1.0,57.0,2017-11-30,302,New York,NY
general protestors,May Day; pro-labor; pro-immigrant; anti-Trump,1.0,1000.0,2017-05-01,89,Albuquerque,NM
