Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protesters,Oppose federal funding cuts to Planned Parenthood,1.0,250.0,2017-06-21,140,St. Paul,MN
A New Missouri,Support state restrictions on abortion,0.0,200.0,2017-06-14,133,Jefferson City,MO
Planned Parenthood; NARAL Pro-Choice Missouri; SEIU; ACLU,Oppose new state restrictions on abortion; demand Medicaid expansion and LGBT anti-discrimination laws,0.0,175.0,2017-06-14,133,Jefferson City,MO
Love Life Charlotte,Men against abortion,0.0,600.0,2017-06-10,129,Charlotte,NC
Love Life Charlotte ,Pro-Life protest ,0.0,1100.0,2017-12-02,304,Charlotte ,NC
general protestors,Protesting Health Care that Doesn't Support Reproductive care,1.0,300.0,2017-12-20,322,Hartford,CT
general protestors,anti-abortion,0,50.0,2017-04-29,87,San Diego,CA
general protesters,anti-abortion; alleged relationship between UNM and Southern Women's Options Clinic,0,150.0,2017-04-17,75,Albuquerque,NM
Planned Parenthood,In support of Planned Parenthood,1,1000.0,2017-04-05,63,Austin,TX
general protestors,"Protesting abortion, planned parenthood",0,200.0,2017-10-25,266,Moorhead,MN
Saint Dominic Catholic Church ,Pro-life protest ,0,200.0,2017-10-01,242,Panama City ,FL
general protestors,Rally for life; pro-life,0,100.0,2017-10-01,242,Traverse City,MI
general protestors,"Pro-life, anti-abortion",0,100.0,2017-10-01,242,Winchester,VA
Generation Progress,Pro-choice protest ,1.0,110.0,2017-11-15,287,Washington ,DC
rep Rob Quist supporters,against Trump/support of Planned Parenthood,1.0,100.0,2017-05-12,100,Billing,MT
"ACLU of Kentucky, Planned Parenthood Advocates, the Kentucky Health Justice Network",Pro- Reproductive Rights Rally,0.0,216.0,2018-01-04,337,Frankfort,KY
Respect Life Denver,Protesting abortion,2.0,1512.0,2018-01-13,346,Denver,CO
Elkhart County Right to Life,Pro Life Prayer Walk,2.0,50.0,2018-01-13,346,Elkhart,IN
general protestors,Protesting abortion,0.0,70.0,2018-01-13,346,Montpelier,VT
NH Right to Life,Protesting abortion,2.0,183.0,2018-01-13,346,Concord,NH
general protestors,Pro Life Protesters,2.0,80.0,2018-01-15,348,Adrian,MI
Diocese of Arlington Office of Youth Ministry,Protesting abortion,2.0,54.0,2018-01-18,351,Fairfax,VA
Archdiocese of Boston,Protesting abortion,2.0,59.0,2018-01-18,351,Framingham,MA
general protestors,Protesting abortion,2.0,200.0,2018-01-18,351,Washington,DC
general protestors,Protesting abortion,2.0,10000.0,2018-01-18,351,Washington,DC
general protestors,Protesting abortion,2.0,5300.0,2018-01-19,352,Fairfax,VA
general protestors,Protesting abortion,2.0,100.0,2018-01-19,352,Helena,MT
March for Life Mobile,Protesting abortion,2.0,79.0,2018-01-19,352,Mobile,AL
general protestors,Protesting abortion,2.0,2000.0,2018-01-19,352,Washington,DC
general protestors,Protesting abortion,2.0,200000.0,2018-01-19,352,Washington,DC
Louisiana Right to Life Federation,Protesting abortion,2.0,73.0,2018-01-20,353,Baton Rogue,LA
general protestors,Protesting abortion,2.0,1000.0,2018-01-20,353,Cincinnati,OH
Planned Parenthood-Denver Stapleton Health Center,Anti-Abortion March For Life,2.0,120.0,2018-01-20,353,Denver,CO
general protestors,Anti-Abortion March For Life,2.0,150.0,2018-01-20,353,Grand Junction,CO
Arkansas Coalition for Reproductive Justice,Rallying for reproductive rights,1.0,200.0,2018-01-20,353,Little Rock,AR
general protestors,Protesting abortion,2.0,25000.0,2018-01-20,353,Los Angeles,CA
Arizona For Life,Protesting abortion,2.0,200.0,2018-01-20,353,Phoenix,AZ
general protestors,Protesting abortion,2.0,5000.0,2018-01-20,353,San Diego,CA
Utah Pro-Life,Anti-Abortion March For Life,2.0,200.0,2018-01-20,353,Salt Lake City,UT
general protestors,Anti-Abortion March For Life,2.0,500.0,2018-01-20,353,Spokane,WA
Syracuse Right to Life Association,Protesting abortion,2.0,100.0,2018-01-20,353,Syracuse,NY
Tennessee Right to Life,Protest abortion,2.0,700.0,2018-01-21,354,Knoxville,TN
general protestors,Anti-Abortion March For Life,2.0,200.0,2018-01-21,354,Little Rock,AR
general protestors,Protesting abortion,2.0,100.0,2018-01-22,355,Holland,MI
Right to life Indiannapolis,Protesting abortion,2.0,200.0,2018-01-22,355,Indiannapolis,IN
general protestors,Protesting abortion,2.0,200.0,2018-01-22,355,Lake Charles,LA
Virginia Women's Equality Coalition,Rallying for reproductive rights,1.0,100.0,2018-01-22,355,Richmond,VA
Kansas for Life,Protesting abortion,2.0,200.0,2018-01-22,355,Topeka,KS
New Jersey Rights to Life,Protesting abortion,2.0,200.0,2018-01-22,355,Trenton,NJ
Minnesota Citizens Concerned for Life,Protesting abortion,2.0,300.0,2018-01-23,356,Brainerd,MN
General Protestors,Protesting abortion,2.0,3500.0,2018-01-27,360,Austin,TX
General Protestors,Protesting abortion,2.0,1000.0,2018-01-27,360,Jefferson City,MO
General Protestors,Anti-abortion March For Life,2.0,3000.0,2018-01-27,360,Lincoln,NE
General Protestors,Pro-Choice Counter-Protest ,1.0,100.0,2018-01-27,360,Lincoln,NE
General Protestors,Protesting abortion,2.0,35000.0,2018-01-27,360,San Francisco,CA
General Protestors,counter Proterstors of pro life march,1.0,200.0,2018-01-27,360,San Francisco,CA
General Protestors,Anti-abortion March For Life,2.0,100.0,2018-01-27,360,St. Lois,MO
Crusaders of Life,Protesting abortion,2.0,200.0,2018-01-28,361,Springfield,IL
